Zeitstempel,Alter,Status,Eroeffnung,Ziel,Wichtikeit,Grunde,Wahrscheindlichkeit,Wichtig_generell,,,
2024/09/30 10:18:31 AM OESZ,52,"Ja, ich habe ein 3a-Konto und ich bezahle ein.",25,Altersvorsorge,Steuern sparen,4,,,4,,
2024/09/30 10:23:31 AM OESZ,61,"Ja, ich habe ein 3a-Konto und ich bezahle ein.",48,Altersvorsorge,Steuern sparen,4,,,5,,
2024/09/30 10:23:50 AM OESZ,20,"Nein, ich habe entweder kein Säule 3a-Konto oder ich zahle nicht ein.",,,,Kein Interesse,1,4,,,
2024/09/30 10:34:04 AM OESZ,59,"Ja, ich habe ein 3a-Konto und ich bezahle ein.",30,Altersvorsorge,Steuern sparen,4,,,5,,
2024/09/30 10:34:36 AM OESZ,34,"Ja, ich habe ein 3a-Konto und ich bezahle ein.",20,Steuern sparen,4,,,3,,,
2024/09/30 11:28:13 AM OESZ,57,"Ja, ich habe ein 3a-Konto und ich bezahle ein.",30,Altersvorsorge,Steuern sparen,5,,,5,,
2024/09/30 11:54:22 AM OESZ,61,"Ja, ich habe ein 3a-Konto und ich bezahle ein.",38,Altersvorsorge,Steuern sparen,4,,,5,,
2024/09/30 1:14:23 PM OESZ,63,"Ja, ich habe ein 3a-Konto und ich bezahle ein.",55,Altersvorsorge,Steuern sparen,3,,,5,,
2024/09/30 7:06:27 PM OESZ,32,"Ja, ich habe ein 3a-Konto und ich bezahle ein.",28,Altersvorsorge,Steuern sparen,Kapital aufbauen für Eigenheim Erwerb,Gewinn durch Anlegen in Aktien,5,,,4
2024/10/01 7:15:41 AM OESZ,36,"Ja, ich habe ein 3a-Konto und ich bezahle ein.",23,Altersvorsorge,Steuern sparen,Kapital aufbauen für Eigenheim Erwerb,Kapital aufbauen für Firmengründung,5,,,4
2024/10/01 2:34:18 PM OESZ,57,"Ja, ich habe ein 3a-Konto und ich bezahle ein.",33,Altersvorsorge,Steuern sparen,4,,,4,,
2024/10/03 5:08:36 AM OESZ,40,"Ja, ich habe ein 3a-Konto und ich bezahle ein.",26,Altersvorsorge,Steuern sparen,4,,,4,,
2024/10/03 2:50:29 PM OESZ,33,"Ja, ich habe ein 3a-Konto und ich bezahle ein.",28,Altersvorsorge,4,,,4,,,
2024/10/03 3:25:40 PM OESZ,21,"Nein, ich habe entweder kein Säule 3a-Konto oder ich zahle nicht ein.",,,,Ich habe vor es einzurichten.,Habe mich nie darum gekümmert,4,3,,
2024/10/03 3:27:25 PM OESZ,22,"Nein, ich habe entweder kein Säule 3a-Konto oder ich zahle nicht ein.",,,,Habe mich nie darum gekümmert,2,2,,,
2024/10/03 3:49:15 PM OESZ,24,"Ja, ich habe ein 3a-Konto und ich bezahle ein.",16,Altersvorsorge,Steuern sparen,Kapital aufbauen für Eigenheim Erwerb,5,,,5,
2024/10/03 3:55:43 PM OESZ,22,"Ja, ich habe ein 3a-Konto und ich bezahle ein.",20,Altersvorsorge,Steuern sparen,3,,,3,,
2024/10/03 4:25:52 PM OESZ,36,"Ja, ich habe ein 3a-Konto und ich bezahle ein.",30,Altersvorsorge,Steuern sparen,Kapital aufbauen für Eigenheim Erwerb,2,,,5,
2024/10/04 1:09:53 PM OESZ,58,"Ja, ich habe ein 3a-Konto und ich bezahle ein.",40,Altersvorsorge,Steuern sparen,5,,,4,,
2024/10/06 7:35:32 PM OESZ,22,"Nein, ich habe entweder kein Säule 3a-Konto oder ich zahle nicht ein.",,,,Verstehe es noch zu wenig,Habe mich nie darum gekümmert,2,2,,
2024/10/06 7:39:23 PM OESZ,23,"Nein, ich habe entweder kein Säule 3a-Konto oder ich zahle nicht ein.",,,,Habe mich nie darum gekümmert,Ich verdiene momentan noch kaum etwas (Studentin),2,4,,
2024/10/06 7:39:55 PM OESZ,27,Ich weiss nicht,,,,,,,,,
2024/10/06 9:24:24 PM OESZ,33,"Nein, ich habe entweder kein Säule 3a-Konto oder ich zahle nicht ein.",,,,Zu wenig einkommen atm,2,2,,,
2024/10/07 8:35:07 AM OESZ,23,"Nein, ich habe entweder kein Säule 3a-Konto oder ich zahle nicht ein.",,,,Habe mich nie darum gekümmert,2,3,,,
2024/10/07 9:13:22 AM OESZ,41,"Ja, ich habe ein 3a-Konto und ich bezahle ein.",20,Altersvorsorge,Steuern sparen,4,,,5,,
2024/10/07 9:24:44 AM OESZ,41,"Ja, ich habe ein 3a-Konto und ich bezahle ein.",36,Altersvorsorge,Steuern sparen,5,,,4,,
2024/10/07 12:00:55 PM OESZ,22,"Ja, ich habe ein 3a-Konto und ich bezahle ein.",21,Altersvorsorge,Steuern sparen,4,,,4,,
